player_name,age,games,games_played,minutes,minutes_90s,shots,passes,passes_total_distance,tackles,tackles_won,blocks,interceptions,touches,passes_received,fouls,fouled,aerials_won,aerials_lost,n_injuries,n_severe_injuries,currently_injured,position_DF,position_FW,position_GK,position_MF
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Leandro Paredes,27.73150685,15,15,1238,13.8,13,744,11483,50,22,22,6,886,589,19,9,24,18,10,1,1,0,0,0,1
Weston McKennie,34.31780822,15,7,801,8.9,6,587,8825,22,11,13,13,674,460,9,2,7,10,9,0,0,0,0,0,1
Adrien Rabiot,32.03835616,1,0,13,0.1,1,11,119,0,0,0,0,12,12,1,0,0,0,15,2,0,0,0,0,1
Fabio Miretti,20.52876712,5,0,47,0.5,3,20,235,2,0,2,1,33,13,0,0,1,1,0,0,0,0,1,0,1
Nicolò Fagioli,20.83835616,11,7,591,6.6,4,346,4504,11,4,8,7,399,269,4,9,2,4,3,0,0,1,0,0,0
Juan Cuadrado,26.43561644,13,13,1099,12.2,30,527,6952,23,10,9,10,675,432,12,24,5,11,15,0,0,0,0,0,1
Filip Kostić,23.4,11,10,767,8.5,22,179,2028,8,5,11,1,310,233,16,29,4,6,15,2,0,0,1,0,1
